  Year,   Mon,   Day,   HRU,              Precip,               Irrig,                Seep,                 PET,                  ET,               WeirH,              Wtrdep,               WeirQ,                  SW,              Sedcon,              SedYld,              NO3Con,              NO3Yld,                 LAI,                 SALT
  2010,     1,     1,    44,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    45,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    46,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    47,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    48,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    49,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    50,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    51,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    74,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    75,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    76,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    77,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    78,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,    79,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   108,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   109,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   110,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   111,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   112,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   113,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   114,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   234,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   235,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   236,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   237,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   238,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   239,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   240,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
